subject;age;trial_number;condition;order;image_object_id;image_landscape_id;encoding_phase;rating;recall_phase;phase;score;rt
sub-01;28;9bis;Distraction;D-R;Papillon;Eau05;E1;2.0;RF;final;0.0;0.678157000000283
sub-07;28;1;Rest;R-D;Fromage;Urb08;E1;0.0;R1;initial;0.0;4.014635399999861
sub-07;28;2;Rest;R-D;Citron;Eau03;E1;0.0;R1;initial;0.0;10.316423199999916
sub-07;28;3;Rest;R-D;Poire;Esp05;E1;0.0;R1;initial;0.0;9.440241299999798
sub-07;28;4;Rest;R-D;Balai;Des04;E1;0.0;R1;initial;0.0;12.825089899999512
sub-07;28;5;Rest;R-D;Carotte;Eau04;E1;0.0;R1;initial;1.0;3.652804999999717
sub-07;28;6;Rest;R-D;Fraise;Mon09;E1;0.0;R1;initial;0.0;14.387147399999776
sub-07;28;7;Rest;R-D;Guitare;For05;E1;1.0;R1;initial;1.0;3.412312500000553
sub-07;28;8;Rest;R-D;Cactus;mars-01;E1;0.0;R1;initial;1.0;3.9357504999998127
sub-07;28;9;Rest;R-D;Tasse;For01;E1;1.0;R1;initial;1.0;2.207291599999735
sub-07;28;10;Rest;R-D;Fourchette;Mon05;E1;1.0;R1;initial;0.0;15.002804900000228
sub-07;28;11;Rest;R-D;Cerise;Mon02;E1;2.0;R1;initial;0.0;12.7803057000001
sub-07;28;12;Rest;R-D;Broccoli;Urb06;E1;1.0;R1;initial;1.0;7.331471999999849
sub-07;28;13;Rest;R-D;Violon;Esp03;E1;1.0;R1;initial;1.0;3.095877599999767
sub-07;28;14;Rest;R-D;Ampoule;Urb10;E1;2.0;R1;initial;1.0;3.239778500000284
sub-07;28;15;Rest;R-D;Tracteur;Cam03;E1;3.0;R1;initial;1.0;4.416902099999788
sub-07;28;16;Rest;R-D;Ciseaux;Mon10;E1;0.0;R1;initial;0.0;14.584902900000088
sub-07;28;17;Rest;R-D;Bonnet;mars-04;E1;1.0;R1;initial;1.0;2.8124106999994183
sub-07;28;18;Rest;R-D;Moto;Mon13;E1;0.0;R1;initial;1.0;2.0768244000000777
sub-07;28;19;Rest;R-D;Tournevis;Mon04;E1;0.0;R1;initial;0.0;15.003199400000083
